missing_constituents,V2
STREAM WIDTH MEASURE,Not in data sufficiency table
"TEMPERATURE, AIR, DEG C",Not in data sufficiency table
BAROMETRIC PRESSURE,Not in data sufficiency table
CLOUD COVER,Not in data sufficiency table
"STREAM FLOW, INSTANTANEOUS",Not in data sufficiency table
NUMBER OF SAMPLING POINTS,Not in data sufficiency table
"HEIGHT, GAGE",Not in data sufficiency table
SPECIFIC CONDUCTANCE,Not in data sufficiency table
"ACIDITY, (H+)",Not in data sufficiency table
CARBON DIOXIDE,Not in data sufficiency table
CARBONATE,Not in data sufficiency table
BICARBONATE,Not in data sufficiency table
"TOTAL NITROGEN, MIXED FORMS",Not in data sufficiency table
ORGANIC NITROGEN,Not in data sufficiency table
AMMONIA AND AMMONIUM,Not in data sufficiency table
NITRATE + NITRITE,Not in data sufficiency table
ORTHOPHOSPHATE,Not in data sufficiency table
"TOTAL PHOSPHORUS, MIXED FORMS",Not in data sufficiency table
ORGANIC CARBON,Not in data sufficiency table
INORGANIC CARBON,Not in data sufficiency table
CARBON,Not in data sufficiency table
"HARDNESS, CA, MG",Not in data sufficiency table
"HARDNESS, NON-CARBONATE",Not in data sufficiency table
CALCIUM,Not in data sufficiency table
MAGNESIUM,Not in data sufficiency table
SODIUM,Not in data sufficiency table
SODIUM ADSORPTION RATIO [(NA)/(SQ ROOT OF 1/2 CA + MG)],Not in data sufficiency table
"SODIUM, PERCENT TOTAL CATIONS",Not in data sufficiency table
POTASSIUM,Not in data sufficiency table
FLUORIDE,Not in data sufficiency table
SILICA,Not in data sufficiency table
THALLIUM,Not in data sufficiency table
MOLYBDENUM,Not in data sufficiency table
STRONTIUM,Not in data sufficiency table
VANADIUM,Not in data sufficiency table
LITHIUM,Not in data sufficiency table
OIL AND GREASE,Not in data sufficiency table
"DETERGENT, SEVERITY (CHOICE LIST)",Not in data sufficiency table
FLOATING GARBAGE SEVERITY (CHOICE LIST),Not in data sufficiency table
"ODOR, ATMOSPHERIC",Not in data sufficiency table
"FISH KILL, SEVERITY (CHOICE LIST)",Not in data sufficiency table
FLOATING DEBRIS - SEVERITY (CHOICE LIST),Not in data sufficiency table
TURBIDITY SEVERITY (CHOICE LIST),Not in data sufficiency table
URANIUM,Not in data sufficiency table
SUSPENDED SEDIMENT CONCENTRATION (SSC),Not in data sufficiency table
SUSPENDED SEDIMENT DISCHARGE,Not in data sufficiency table
WIND VELOCITY,Not in data sufficiency table
"STREAM FLOW, MEAN. DAILY",Not in data sufficiency table
COLORED DISSOLVED ORGANIC MATTER (CDOM),Not in data sufficiency table
VOLATILE SUSPENDED SOLIDS,Not in data sufficiency table
KJELDAHL NITROGEN,Not in data sufficiency table
TOTAL KJELDAHL NITROGEN (ORGANIC N & NH3),Not in data sufficiency table
DEPTH,Not in data sufficiency table
"TEMPERATURE, AIR, DEG F",Not in data sufficiency table
PHOSPHORUS,Not in data sufficiency table
TIDE RANGE,Not in data sufficiency table
WAVE HEIGHT,Not in data sufficiency table
TIDE STAGE (CHOICE LIST),Not in data sufficiency table
CONDUCTIVITY,Not in data sufficiency table
"M,P-XYLENE",Not in data sufficiency table
O-XYLENE,Not in data sufficiency table
XYLENE,Not in data sufficiency table
SETTLEABLE SOLIDS,Not in data sufficiency table
TOTAL SOLIDS,Not in data sufficiency table
SULFIDE,Not in data sufficiency table
HARDNESS,Not in data sufficiency table
AMMONIA-NITROGEN,Not in data sufficiency table
TOTAL XYLENES,Not in data sufficiency table
SALINITY,Not in data sufficiency table
TOTAL COLIFORM,Not in data sufficiency table
TIN,Not in data sufficiency table
SILICON,Not in data sufficiency table
TITANIUM,Not in data sufficiency table
"HARDNESS, CARBONATE",Not in data sufficiency table
TOTAL HARDNESS,Not in data sufficiency table
