ASSESSMENT_UNIT_ID,LOCATION_TYPE_CODE,LOCATION_TYPE_CONTEXT,LOCATION_TEXT
AK_B_1021109_001,HUC-10,,
AK_B_1021109_003,HUC-10,,
AK_L_2030212_001,HUC-10,1902030212,
AK_M_1010207_001,HUC-10,,
AK_M_1010207_008,HUC-10,,
AK_M_1020401_005,HUC-10,,
AK_M_1020612_003,HUC-10,,
AK_M_1021008_007,HUC-10,,
AK_M_1021012_001,HUC-10,,
AK_M_1021109_002,HUC-10,,
AK_M_1021109_005,HUC-10,,
AK_M_1021201_001,HUC-10,,
AK_M_1021211_007,HUC-10,,
AK_M_1021212_012,HUC-10,,
AK_M_1030106_001,HUC-10,,
AK_M_1030108_002,HUC-10,,
AK_M_1030214_001,HUC-10,,
AK_M_1030308_001,HUC-10,,
AK_M_1030409_004,HUC-10,,
AK_M_1050002_002,HUC-10,,
AK_M_1050005_001,HUC-10,,
AK_M_1050006_004,HUC-10,,
AK_M_1050011_007,HUC-10,,
AK_M_2020205_001,HUC-10,,
AK_M_2020206_011,HUC-10,,
AK_M_2020302_015,HUC-10,,
AK_M_2070115_011,HUC-10,,
AK_M_2070115_016,HUC-10,,
AK_M_3010208_006,HUC-10,,
AK_M_5010416_001,HUC-10,,
AK_M_5010417_001,HUC-10,,
AK_M_5010420_001,HUC-10,,
AK_M_6020201_004,HUC-10,,
AK_R_2050512_016_002,HUC-10,1902050512,
AK_R_3020311_001_002,HUC-10,1903020311,
AK_R_9010501_004,HUC-10,1909010501,
